"s","nationality","birthYear"
"http://fr.dbpedia.org/resource/Camille_Robida","http://fr.dbpedia.org/resource/France",1880
"http://fr.dbpedia.org/resource/Carl_Axel_Setterberg","http://fr.dbpedia.org/resource/Suède",1812
"http://fr.dbpedia.org/resource/Carl_Dippell","http://fr.dbpedia.org/resource/Finlande",1855
"http://fr.dbpedia.org/resource/Carl_Fredrik_Adelcrantz","http://fr.dbpedia.org/resource/Suède",1716
"http://fr.dbpedia.org/resource/Carl_Hårleman","http://fr.dbpedia.org/resource/Suède",1700
"http://fr.dbpedia.org/resource/Carl_Milles","http://fr.dbpedia.org/resource/Suède",1875
"http://fr.dbpedia.org/resource/Carl_Nyrén","http://fr.dbpedia.org/resource/Suède",1917
"http://fr.dbpedia.org/resource/Carl_Westman","http://fr.dbpedia.org/resource/Suède",1866
"http://fr.dbpedia.org/resource/Carlo_Aymonino","http://fr.dbpedia.org/resource/Italie",1926
"http://fr.dbpedia.org/resource/Carlo_Bugatti","http://fr.dbpedia.org/resource/Italie",1856
"http://fr.dbpedia.org/resource/Carlo_Maria_Natale","http://fr.dbpedia.org/resource/Italie",1935
"http://fr.dbpedia.org/resource/Carlos_Morales_Quintana","http://fr.dbpedia.org/resource/Espagne",1970
"http://fr.dbpedia.org/resource/Carlos_Páez_Vilaró","http://fr.dbpedia.org/resource/Uruguay",1923
"http://fr.dbpedia.org/resource/Carlos_de_la_Mota_(acteur)","http://fr.dbpedia.org/resource/République_dominicaine",1975
"http://fr.dbpedia.org/resource/Carlos_de_la_Mota_(acteur)","http://fr.dbpedia.org/resource/République_dominicaine",1976
"http://fr.dbpedia.org/resource/Carmen_Azevedo","http://fr.dbpedia.org/resource/Brésil",1974
"http://fr.dbpedia.org/resource/Carolus_Lindberg","http://fr.dbpedia.org/resource/Finlande",1889
"http://fr.dbpedia.org/resource/Carter_Manny","http://fr.dbpedia.org/resource/États-Unis",1918
"http://fr.dbpedia.org/resource/Casimir_Echernier","http://fr.dbpedia.org/resource/France",1818
"http://fr.dbpedia.org/resource/Catherine_Hardwicke","http://fr.dbpedia.org/resource/États-Unis",1955
"http://fr.dbpedia.org/resource/Charle-Albert","http://fr.dbpedia.org/resource/Belgique",1821
"http://fr.dbpedia.org/resource/Charles-Bernard_Pellegrini","http://fr.dbpedia.org/resource/France",1819
"http://fr.dbpedia.org/resource/Charles-Désiré_Bourgon","http://fr.dbpedia.org/resource/France",1855
"http://fr.dbpedia.org/resource/Charles-François_Mandar","http://fr.dbpedia.org/resource/France",1757
"http://fr.dbpedia.org/resource/Charles-Gustave_Stoskopf","http://fr.dbpedia.org/resource/France",1907
"http://fr.dbpedia.org/resource/Charles-Louis_Roux-Meulien","http://fr.dbpedia.org/resource/France",1842
"http://fr.dbpedia.org/resource/Charles_Baron_(architecte)","http://fr.dbpedia.org/resource/France",1836
"http://fr.dbpedia.org/resource/Charles_Bassi","http://fr.dbpedia.org/resource/Finlande",1772
"http://fr.dbpedia.org/resource/Charles_Correa","http://fr.dbpedia.org/resource/Inde",1930
"http://fr.dbpedia.org/resource/Charles_De_Wailly","http://fr.dbpedia.org/resource/France",1730
"http://fr.dbpedia.org/resource/Charles_Durand_(architecte)","http://fr.dbpedia.org/resource/France",1824
"http://fr.dbpedia.org/resource/Charles_Fichot","http://fr.dbpedia.org/resource/France",1817
"http://fr.dbpedia.org/resource/Charles_Joseph_Pinsard","http://fr.dbpedia.org/resource/France",1819
"http://fr.dbpedia.org/resource/Charles_L'Eplattenier","http://fr.dbpedia.org/resource/Suisse",1874
"http://fr.dbpedia.org/resource/Charles_Lucas_(architecte)","http://fr.dbpedia.org/resource/France",1838
"http://fr.dbpedia.org/resource/Charles_Norry","http://fr.dbpedia.org/resource/France",1756
"http://fr.dbpedia.org/resource/Charles_Sarazin","http://fr.dbpedia.org/resource/France",1873
"http://fr.dbpedia.org/resource/Charles_Vander_Straeten","http://fr.dbpedia.org/resource/Belgique",1771
"http://fr.dbpedia.org/resource/Charles_Voysey_(architecte)","http://fr.dbpedia.org/resource/Angleterre",1857
"http://fr.dbpedia.org/resource/Charlotte_Frank","http://fr.dbpedia.org/resource/Allemagne",1959
"http://fr.dbpedia.org/resource/Charlotte_Perriand","http://fr.dbpedia.org/resource/France",1903
"http://fr.dbpedia.org/resource/Charlotte_Posenenske","http://fr.dbpedia.org/resource/Allemagne",1930
"http://fr.dbpedia.org/resource/Christian_Constantin","http://fr.dbpedia.org/resource/Suisse",1957
"http://fr.dbpedia.org/resource/Christine_Conix","http://fr.dbpedia.org/resource/Belgique",1955
"http://fr.dbpedia.org/resource/Christophe_Crépet","http://fr.dbpedia.org/resource/France",1807
"http://fr.dbpedia.org/resource/Christopher_Wren","http://fr.dbpedia.org/resource/Royaume-Uni",1632
"http://fr.dbpedia.org/resource/Claude-Émile_Perret_de_la_Menue","http://fr.dbpedia.org/resource/France",1810
"http://fr.dbpedia.org/resource/Claude_Cochet","http://fr.dbpedia.org/resource/France",1760
"http://fr.dbpedia.org/resource/Claude_Ferret","http://fr.dbpedia.org/resource/France",1907
"http://fr.dbpedia.org/resource/Claude_Fisco","http://fr.dbpedia.org/resource/Autriche",1736
"http://fr.dbpedia.org/resource/Claude_Fisco","http://fr.dbpedia.org/resource/Pays-Bas",1736
"http://fr.dbpedia.org/resource/Claudia_Niessen","http://fr.dbpedia.org/resource/Belgique",1979
"http://fr.dbpedia.org/resource/Constant_Luzitu_Mayoko","http://fr.dbpedia.org/resource/République_démocratique_du_Congo",1963
"http://fr.dbpedia.org/resource/Cottinelli_Telmo","http://fr.dbpedia.org/resource/Portugal",1897
"http://fr.dbpedia.org/resource/César_Daly","http://fr.dbpedia.org/resource/France",1811
"http://fr.dbpedia.org/resource/César_Pelli","http://fr.dbpedia.org/resource/Argentine",1926
"http://fr.dbpedia.org/resource/César_Portela","http://fr.dbpedia.org/resource/Espagne",1937
"http://fr.dbpedia.org/resource/Dag_Englund","http://fr.dbpedia.org/resource/Finlande",1906
"http://fr.dbpedia.org/resource/Dan_Flavin","http://fr.dbpedia.org/resource/États-Unis",1933
"http://fr.dbpedia.org/resource/Daniel_Boisserie","http://fr.dbpedia.org/resource/Nationalité_française",1946
"http://fr.dbpedia.org/resource/Daniel_C._McCallum","http://fr.dbpedia.org/resource/États-Unis",1815
"http://fr.dbpedia.org/resource/Daniel_Jadue","http://fr.dbpedia.org/resource/Chili",1967
"http://fr.dbpedia.org/resource/Dante_Bini","http://fr.dbpedia.org/resource/Italie",1932
"http://fr.dbpedia.org/resource/Dariush_Borbor","http://fr.dbpedia.org/resource/Iran",1934
"http://fr.dbpedia.org/resource/David_Chipperfield","http://fr.dbpedia.org/resource/Royaume-Uni",1953
"http://fr.dbpedia.org/resource/David_McMillan","http://fr.dbpedia.org/resource/Irlande_(pays)",1988
"http://fr.dbpedia.org/resource/David_Resnick","http://fr.dbpedia.org/resource/Israël",1924
"http://fr.dbpedia.org/resource/David_Sandved","http://fr.dbpedia.org/resource/Norvège",1912
"http://fr.dbpedia.org/resource/Denis_Darcy","http://fr.dbpedia.org/resource/France",1823
"http://fr.dbpedia.org/resource/Der_Scutt","http://fr.dbpedia.org/resource/États-Unis",1934
"http://fr.dbpedia.org/resource/Diego_Clemente_Giménez","http://fr.dbpedia.org/resource/Espagne",1978
"http://fr.dbpedia.org/resource/Dionisio_Lazzari","http://fr.dbpedia.org/resource/Italie",1617
"http://fr.dbpedia.org/resource/Dom_Mintoff","http://fr.dbpedia.org/resource/Malte",1916
